,año,sem,codigo,vales,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto
54,2019,1,4314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.39,0.0,60.16,0.0,2010.95,301.75,2312.7,224.55,2088.15
55,2019,1,7632,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.13,38.26,871.38,158.48,1029.86,27.13,1002.73
56,2019,1,6504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.83,38.26,871.38,185.31,1056.69,23.83,1032.86
57,2019,1,7801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88,31.67,974.38,306.39,1280.77,22.88,1257.89
58,2019,1,7604,1.0,0.0,0.0,0.0,0.0,0.0,120.51,0.0,0.0,0.0,0.0,19.15,48.29,796.38,148.76,945.14,140.66,804.48
59,2019,1,7061,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23,0.0,30.29,0.0,1228.86,274.72,1503.58,40.52,1463.06
60,2019,1,7805,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.71,0.0,29.75,0.0,1361.96,276.44,1638.4,54.46,1583.94
61,2019,1,7633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.99,38.9,861.38,159.12,1020.5,23.99,996.51
62,2019,1,7428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.15,31.67,974.38,306.39,1280.77,26.15,1254.62
63,2019,1,2897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.86,38.9,861.38,159.12,1020.5,20.86,999.64
64,2019,1,7558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.03,38.26,871.38,158.48,1029.86,24.03,1005.83
65,2019,1,6360,1.0,0.0,0.0,0.0,0.0,0.0,120.51,0.0,0.0,0.0,0.0,19.14,48.29,796.38,148.76,945.14,140.65,804.49
66,2019,1,7614,1.0,0.0,0.0,0.0,0.0,0.0,171.38,0.0,0.0,0.0,0.0,26.89,27.85,1132.81,152.1,1284.91,199.27,1085.64
67,2019,1,3318,1.0,0.0,0.0,0.0,0.0,500.52,0.0,0.0,0.0,306.57,0.0,60.38,0.0,2829.62,459.16,3288.78,868.47,2420.31
68,2019,1,7706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07,38.9,861.38,159.12,1020.5,24.07,996.43
69,2019,1,7804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.04,0.0,39.55,0.0,1670.69,339.16,2009.85,115.59,1894.26
70,2019,1,5139,1.0,0.0,0.0,0.0,0.0,759.2,0.0,0.0,0.0,270.04,0.0,84.29,0.0,2638.09,359.48,2997.57,1114.53,1883.04
71,2019,1,6083,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.84,1.77,1191.67,402.4,1594.07,30.84,1563.23
72,2019,1,6766,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31,9.11,1119.61,206.69,1326.3,27.31,1298.99
73,2019,1,4137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.8,0.0,137.6,0.0,3135.04,482.4,3617.44,510.4,3107.04
74,2019,1,7542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.38,30.02,1000.13,330.49,1330.62,27.38,1303.24
75,2019,1,7756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.59,38.26,871.38,158.48,1029.86,23.59,1006.27
76,2019,1,7759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2019,1,3780,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8,0.0,37.18,0.0,1533.14,224.86,1758.0,89.98,1668.02
78,2019,1,6205,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.81,20.88,1041.31,366.62,1407.93,25.81,1382.12
79,2019,1,5027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36,0.0,34.61,0.0,1230.04,143.04,1373.08,44.97,1328.11
80,2019,1,7791,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.37,36.61,897.13,234.08,1131.21,22.37,1108.84
81,2019,1,7818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.77,0.0,24.46,0.0,2107.04,246.04,2353.08,204.23,2148.85
82,2019,1,7815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.81,38.9,861.38,159.12,1020.5,20.81,999.69
83,2019,1,7838,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.19,29.13,1014.04,172.17,1186.21,26.19,1160.02
84,2019,1,6839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.71,35.79,910.01,221.46,1131.47,26.71,1104.76
