,sem,codigo,vales,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto
90,1,6978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55,36.85,893.47,179.16,1072.63,22.55,1050.08
91,1,4458,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.66,0.0,41.53,0.0,2446.25,420.35,2866.6,278.19,2588.41
92,1,7522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.53,38.26,871.38,158.48,1029.86,23.53,1006.33
93,1,5679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.13,3.22,1178.33,268.63,1446.96,31.13,1415.83
94,1,7417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.44,38.26,871.38,158.48,1029.86,22.44,1007.42
95,1,7530,1.0,0.0,0.0,0.0,0.0,0.0,123.7,0.0,0.0,0.0,0.0,18.05,2.11,1308.98,142.46,1451.44,142.75,1308.69
96,1,7239,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.82,38.9,861.38,159.12,1020.5,20.82,999.68
97,1,6028,1.0,0.0,100.0,0.0,0.0,375.15,0.0,0.0,0.0,0.0,0.0,26.66,0.21,1205.97,269.62,1475.59,502.81,972.78
98,1,6565,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.08,36.14,904.52,189.49,1094.01,23.08,1070.93
99,1,7400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1,3218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,34.24,934.17,222.65,1156.82,24.1,1132.72
101,1,3676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.14,0.0,34.98,0.0,1471.97,415.46,1887.43,81.12,1806.31
102,1,445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.47,10.95,1090.83,166.28,1257.11,28.47,1228.64
103,1,5901,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.54,38.9,861.38,159.12,1020.5,23.54,996.96
104,1,7269,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.43,37.55,882.43,168.81,1051.24,22.43,1028.81
105,1,2522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.77,38.26,871.38,158.48,1029.86,24.77,1005.09
106,1,7569,1.0,0.0,0.0,0.0,0.0,0.0,310.14,0.0,0.0,0.0,0.0,14.18,42.15,715.13,102.43,817.56,325.32,492.24
