,año,sem,codigo,dias_pag,dias_lab,sueldo,comp,asist,transp,vales,te_dob,te_trip,desc_Lab,fest_lab,dominic,perc_grav,obj,aguin,vac,prim_vac,grat_esp,util
61,2019,1,2897,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
62,2019,1,7558,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
63,2019,1,6360,7.0,4.0,721.0,25.38,0.0,50.0,100.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
64,2019,1,7614,7.0,4.0,856.94,91.05,0.0,40.0,124.25,0.0,0.0,0.0,0.0,0.0,144.82,0.0,0.0,0.0,0.0,0.0,0.00
65,2019,1,3318,7.0,5.0,1020.18,938.7,60.0,50.0,313.42,0.0,0.0,0.0,291.48,0.0,615.0,0.0,0.0,0.0,0.0,0.0,0.00
66,2019,1,7706,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
67,2019,1,7804,7.0,5.0,994.07,460.11,60.0,50.0,232.66,213.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
68,2019,1,5139,7.0,5.0,1400.0,436.8,60.0,60.0,293.88,0.0,0.0,0.0,0.0,0.0,681.29,0.0,0.0,0.0,65.6,0.0,0.00
69,2019,1,6083,7.0,5.0,721.0,93.17,60.0,60.0,130.26,231.75,38.62,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
70,2019,1,6766,7.0,5.0,856.94,152.67,60.0,50.0,161.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.05,0.0,0.00
71,2019,1,4137,7.0,5.0,1964.97,1050.07,60.0,60.0,482.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
72,2019,1,7542,7.0,5.0,721.0,30.38,60.0,60.0,120.22,51.5,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
73,2019,1,7756,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
74,2019,1,7759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
75,2019,1,3780,7.0,5.0,878.01,429.45,60.0,60.0,209.19,31.35,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.00
76,2019,1,6205,7.0,5.0,721.0,123.06,60.0,60.0,135.04,77.25,38.62,0.0,0.0,51.5,0.0,0.0,0.0,0.0,120.58,0.0,0.00
77,2019,1,5027,7.0,5.0,721.0,173.04,60.0,60.0,143.04,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.00
78,2019,1,7791,7.0,5.0,721.0,30.38,60.0,60.0,120.22,51.5,0.0,0.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
79,2019,1,7818,7.0,5.0,721.0,173.04,60.0,50.0,143.04,0.0,0.0,0.0,206.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.00
80,2019,1,7815,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
81,2019,1,7838,7.0,5.0,721.0,173.04,60.0,60.0,143.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
82,2019,1,6839,7.0,5.0,721.0,30.38,60.0,60.0,120.22,77.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.83,0.0,0.00
83,2019,1,5646,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
84,2019,1,7750,7.0,5.0,361.53,15.23,30.0,30.0,60.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
85,2019,1,7708,7.0,5.0,721.0,30.38,60.0,60.0,120.22,51.5,0.0,154.5,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
86,2019,1,7833,7.0,2.0,721.0,15.23,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,60.27,0.0,0.0,0.0,0.0,0.0,0.00
87,2019,1,5679,7.0,5.0,856.94,243.74,60.0,60.0,176.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.55,0.0,0.00
88,2019,1,7530,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
89,2019,1,6028,7.0,5.0,836.99,173.95,60.0,60.0,161.75,269.03,89.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
90,2019,1,6565,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
91,2019,1,7731,7.0,5.0,721.0,30.38,60.0,50.0,120.22,154.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
92,2019,1,7753,7.0,4.0,721.0,138.43,0.0,40.0,114.43,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.00
93,2019,1,3676,7.0,5.0,878.01,293.86,60.0,50.0,187.49,282.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
94,2019,1,3221,7.0,5.0,836.99,271.25,60.0,60.0,177.31,179.35,0.0,239.14,0.0,59.78,0.0,0.0,0.0,0.0,0.0,0.0,0.00
95,2019,1,7741,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
96,2019,1,7779,7.0,5.0,856.94,113.82,60.0,60.0,155.32,0.0,0.0,244.84,0.0,61.21,0.0,0.0,0.0,0.0,0.0,0.0,0.00
97,2019,1,7269,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.83,0.0,0.00
98,2019,1,2522,7.0,5.0,721.0,30.38,60.0,60.0,120.22,12.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
99,2019,1,236,7.0,5.0,1074.01,813.26,60.0,60.0,301.96,115.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
100,2019,1,7080,7.0,4.0,878.01,257.1,0.0,50.0,158.53,219.5,0.0,0.0,0.0,62.71,0.0,0.0,0.0,0.0,0.0,0.0,0.00
101,2019,1,5965,7.0,5.0,856.94,152.67,60.0,60.0,161.53,61.21,0.0,244.84,0.0,61.21,0.0,0.0,0.0,0.0,0.0,0.0,0.00
102,2019,1,5447,7.0,5.0,721.0,173.04,60.0,50.0,143.04,0.0,0.0,0.0,206.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.00
103,2019,1,7723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
104,2019,1,6685,7.0,5.0,721.0,30.38,60.0,60.0,120.22,231.75,115.87,128.75,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
105,2019,1,5549,7.0,5.0,721.0,30.38,60.0,60.0,120.22,25.75,0.0,0.0,0.0,51.5,0.0,0.0,0.0,0.0,26.83,0.0,0.00
106,2019,1,854,7.0,5.0,1010.03,367.57,60.0,60.0,220.41,36.07,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.00
107,2019,1,7295,7.0,5.0,721.0,30.38,60.0,60.0,120.22,51.5,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
108,2019,1,6832,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
109,2019,1,4807,7.0,5.0,3663.66,0.0,60.0,60.0,564.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
110,2019,1,6821,7.0,5.0,856.94,152.67,60.0,50.0,161.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.28,0.0,0.00
111,2019,1,3169,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.17,0.0,0.00
112,2019,1,4514,7.0,5.0,878.01,293.86,60.0,60.0,187.49,0.0,0.0,250.86,0.0,62.71,0.0,0.0,0.0,0.0,0.0,0.0,0.00
113,2019,1,7814,7.0,4.0,721.0,138.43,0.0,40.0,114.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
114,2019,1,7104,7.0,5.0,721.0,173.04,60.0,50.0,143.04,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.00
115,2019,1,7754,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
