,sem,codigo,dias_pag,dias_lab,sueldo,comp,asist,transp,vales,te_dob,te_trip,desc_Lab,fest_lab,dominic,perc_grav,obj,aguin,vac,prim_vac,grat_esp,util
5193,27,7530,7.0,6.0,623.0,128.38,60.0,50.0,120.22,0.0,0.0,111.25,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0
5194,27,7692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5195,27,6028,7.0,6.0,797.16,213.78,60.0,60.0,161.75,256.23,128.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5196,27,6565,7.0,6.0,623.0,128.38,60.0,60.0,120.22,133.5,467.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5197,27,3676,7.0,6.0,878.01,293.86,60.0,50.0,187.49,282.21,47.03,0.0,0.0,0.0,329.25,0.0,0.0,0.0,0.0,0.0,0.0
5198,27,3221,7.0,6.0,822.78,285.46,60.0,60.0,177.31,264.46,220.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5199,27,7269,7.0,6.0,623.0,128.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0
5200,27,2522,7.0,6.0,623.0,128.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5201,27,5506,7.0,6.0,816.13,154.63,60.0,50.0,155.32,218.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5202,27,236,7.0,6.0,1074.01,813.26,60.0,60.0,301.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5203,27,7080,7.0,6.0,878.01,307.65,60.0,60.0,189.7,219.5,94.07,250.86,0.0,62.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5204,27,5965,7.0,6.0,816.13,193.48,60.0,60.0,161.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5205,27,5447,7.0,6.0,623.0,128.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5206,27,6685,7.0,6.0,623.0,128.38,60.0,60.0,120.22,111.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5207,27,5549,7.0,6.0,623.0,128.38,60.0,60.0,120.22,22.25,0.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5208,27,6349,7.0,6.0,623.0,128.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0
5209,27,854,7.0,6.0,1010.03,367.57,60.0,50.0,220.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5210,27,7295,7.0,6.0,623.0,128.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5211,27,7693,7.0,6.0,623.0,128.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5212,27,6832,7.0,6.0,623.0,128.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5213,27,7687,7.0,6.0,623.0,128.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5214,27,4807,7.0,6.0,3663.66,0.0,60.0,60.0,564.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5215,27,6821,7.0,4.0,816.13,116.08,0.0,30.0,96.92,58.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.05,0.0,0.0
5216,27,7705,7.0,6.0,623.0,128.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5217,27,3169,7.0,6.0,623.0,128.38,60.0,60.0,120.22,22.25,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,53.67,0.0,0.0
5218,27,7686,7.0,6.0,623.0,128.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5219,27,5902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5220,27,4514,7.0,6.0,816.13,284.55,60.0,60.0,176.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5221,27,7104,7.0,5.0,623.0,102.7,0.0,40.0,96.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5222,27,6014,7.0,6.0,816.13,193.48,60.0,60.0,161.53,145.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5223,27,7551,7.0,6.0,623.0,128.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5224,27,6985,7.0,6.0,1260.0,648.06,60.0,60.0,305.28,405.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5225,27,3827,7.0,6.0,623.0,191.17,60.0,60.0,130.26,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.07,0.0,0.0
5226,27,5412,7.0,6.0,623.0,128.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5227,27,4504,7.0,6.0,1484.91,504.98,60.0,60.0,318.38,477.29,357.96,0.0,0.0,0.0,812.53,0.0,0.0,0.0,142.13,0.0,0.0
5228,27,7395,7.0,6.0,623.0,128.38,60.0,60.0,120.22,133.5,0.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
