sem_x,codigo_x,dias_pag,dias_lab,sueldo,comp,asist,transp,vales_x,te_dob,te_trip,desc_Lab,fest_lab,dominic,perc_grav,obj,aguin,vac,prim_vac,grat_esp,util,PK,sem_y,codigo_y,vales_y,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto,antig,depto,puesto,label,tiempov,dist,delitos,label2
1,1424,7,5,1962.52,597.45,60,60,409.59,455.58,0,0,0,0,0,0,0,0,0,0,0,11424,1,1424,1,0,0,0,0,429.4,0,0,0,323.26,0,95.78,0,2907.76,637.38,3545.14,849.44,2695.7,3451,50,9,sigue,6.741,13.81666667,28,1
1,5280,7,5,1166.69,643.79,60,50,289.67,0,0,0,0,0,0,0,0,0,0,0,0,15280,1,5280,1,0,0,316.08,0,433.73,0,0,0,152.32,0,52.9,0,1920.48,289.67,2210.15,956.03,1254.12,1000,81,23,sigue,17.694,29.23333333,69,1
1,6472,7,5,2333.31,408.31,60,60,438.65,0,0,0,666.66,166.66,0,0,0,0,0,0,0,16472,1,6472,1,0,0,0,0,1224.02,0,0,0,404.08,0,115.27,0,3286.12,847.47,4133.59,1744.37,2389.22,924,66,492,fue,8.489,24.33333333,0,0
1,7442,7,5,816.13,201.11,60,60,162.75,0,0,0,0,0,0,0,0,0,0,0,0,17442,1,7442,1,0,0,84,0,216.09,0,0,0,0,0,28.56,7.69,1137.24,170.44,1307.68,329.65,978.03,186,85,227,fue,22.13,38.71666667,0,0
1,7442,7,5,816.13,201.11,60,60,162.75,0,0,0,0,0,0,0,0,0,0,0,0,17442,17,442,1,0,0,0,0,0,0,0,0,25.18,0,35.71,0,1375.45,200.87,1576.32,61.89,1514.43,186,85,227,fue,22.13,38.71666667,0,0
17,442,7,6,774.06,481.39,60,60,200.87,0,0,0,0,0,0,0,0,0,0,0,0,17442,1,7442,1,0,0,84,0,216.09,0,0,0,0,0,28.56,7.69,1137.24,170.44,1307.68,329.65,978.03,7291,5,174,sigue,20.385,41.96666667,0,1
17,442,7,6,774.06,481.39,60,60,200.87,0,0,0,0,0,0,0,0,0,0,0,0,17442,17,442,1,0,0,0,0,0,0,0,0,25.18,0,35.71,0,1375.45,200.87,1576.32,61.89,1514.43,7291,5,174,sigue,20.385,41.96666667,0,1
1,6461,7,5,797.16,174.93,60,50,155.53,28.47,0,0,0,0,0,0,0,0,0,0,0,16461,1,6461,1,0,0,0,0,0,0,0,0,0,0,26.26,10.6,1096.33,180.36,1276.69,27.26,1249.43,1195,11,176,sigue,33.827,48.31666667,0,1
1,6765,7,5,878.01,248.78,60,50,180.28,94.07,0,0,0,0,0,0,0,0,0,0,0,16765,1,6765,1,0,0,0,0,0,0,0,0,15.21,0,29.83,0,1283.83,227.31,1511.14,46.04,1465.1,1088,87,181,sigue,108.262,123.05,0,1
1,7012,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,500,0,0,0,0,0,17012,1,7012,1,0,0,0,0,0,0,0,0,24.74,0,21.57,0,1371.38,120.22,1491.6,47.31,1444.29,698,59,1,fue,7.543,10.85,0,0
1,7478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17478,1,7478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,52,1,fue,6.744,15.1,12,0
1,5000,7,5,816.13,154.63,60,60,155.32,145.73,0,0,0,0,0,0,0,0,0,0,0,15000,1,5000,1,0,0,0,0,0,0,0,0,0,0,27.47,4.82,1163.63,233,1396.63,28.47,1368.16,2398,60,178,sigue,9.893,22.58333333,0,1
1,7206,7,5,618.52,132.86,60,50,120.22,0,0,0,0,0,0,0,0,0,0,0,0,17206,1,7206,1,0,0,0,0,0,0,0,0,0,0,19.93,38.9,861.38,159.12,1020.5,20.93,999.57,406,3,1,fue,3.611,11.46666667,0,0
1,5644,7,5,797.16,174.93,60,50,155.53,56.94,0,0,0,0,0,0,0,0,0,0,0,15644,1,5644,1,0,30,0,0,311.41,0,0,0,0,0,28.5,9.69,1110.56,193.69,1304.25,370.91,933.34,1883,11,176,sigue,5.22,14.08333333,27,1
1,7519,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,500,0,0,0,0,0,17519,1,7519,1,0,0,0,0,0,0,0,0,24.74,0,21.85,0,1371.38,120.22,1491.6,47.59,1444.01,384,59,1,fue,3.203,7.666666667,0,0
1,7292,7,5,618.52,132.86,60,50,120.22,0,0,0,0,0,0,0,0,0,0,0,0,17292,1,7292,1,0,0,0,0,0,0,0,0,0,0,20.73,38.9,861.38,159.12,1020.5,21.73,998.77,419,4,1,fue,9.556,26.8,33,0
1,6690,7,5,618.52,132.86,60,50,120.22,44.18,0,0,0,0,0,500,0,0,0,0,0,16690,1,6690,1,0,0,0,0,0,0,0,0,26.05,0,21.92,0,1383.47,142.31,1525.78,48.97,1476.81,1137,80,1,sigue,7.965,27.76666667,33,1
1,90,7,5,878.01,429.45,60,50,209.19,0,0,0,0,0,0,0,0,0,0,0,0,190,1,90,1,0,0,0,0,458.89,0,0,0,29.75,0,34.16,0,1417.46,209.19,1626.65,523.8,1102.85,11220,5,19,fue,19.141,36.38333333,61,0
1,7168,7,5,618.52,132.86,60,60,120.22,0,0,0,0,44.18,0,0,0,0,0,0,0,17168,1,7168,1,0,0,0,0,0,0,0,0,0,0,21.26,38.26,871.38,202.66,1074.04,22.26,1051.78,777,51,1,sigue,6.153,13.36666667,32,1
1,6958,7,4,618.52,106.28,0,40,96.17,0,0,0,0,0,0,0,0,0,0,0,0,16958,1,6958,1,0,100,0,0,0,123.7,0,0,0,0,18.97,50.19,764.8,146.36,911.16,243.67,667.49,203,8,1,fue,23.405,45.26666667,0,0
