id_trabajador,depto,TiempoViaje,Distancia,GMU2010,IMU2010,pobtot_10,nDelitos,tDelitos
5549,45,3.959,9.383333333,Bajo,-0.811349407,3341,62,18.55731817
7866,45,10.668,24.26666667,Bajo,-0.731233958,5447,34,6.241968056
5745,45,10.64,21.03333333,Alto,0.088895681,5028,0,0
7762,45,7.551,14.83333333,Bajo,-0.830145074,3603,34,9.436580627
7609,45,5.389,12.55,Bajo,-0.820125668,4520,35,7.743362832
7898,45,11.202,23.85,Medio,-0.188178055,7254,0,0
8002,45,15.297,32.76666667,Medio,-0.264079931,9472,0,0
7658,45,19.86,34.81666667,Medio,-0.256006865,4616,0,0
7625,45,24.567,44.88333333,Alto,0.821386432,1315,0,0
8012,45,10.64,21.03333333,Alto,0.088895681,5028,0,0
7880,45,17.566,34.35,Bajo,-0.953826807,1331,13,9.767092412
7912,50,1.797,7.533333333,Medio,-0.505153413,4771,0,0
7870,50,1.797,7.533333333,Medio,-0.505153413,4771,0,0
7720,50,6.989,20.15,Bajo,-0.746953191,4622,32,6.923409779
7692,50,3.61,11.65,Medio,-0.302646161,804,177,220.1492537
7697,50,38.391,38.06666667,Medio,-0.000194915,3718,0,0
7137,50,11.889,15.63333333,Alto,0.357540102,6536,0,0
7750,50,10.74,32.21666667,Muy bajo,-1.205287074,3892,51,13.10380267
7996,50,4.808,14.45,Bajo,-0.697708341,6901,81,11.73742936
6654,50,12.538,24.88333333,Muy bajo,-1.189789418,2926,20,6.835269993
8131,50,6.936,20.18333333,Alto,0.063923857,3522,45,12.77683135
8024,50,10.244,32.96666667,Muy bajo,-1.247589513,1294,33,25.50231839
7723,50,4.484,13.3,Muy bajo,-0.97478415,5005,88,17.58241758
7957,50,9.728,27.1,Bajo,-0.641096075,5774,79,13.68202286
7958,50,1.797,7.533333333,Medio,-0.505153413,4771,0,0
7837,50,7.361,22.45,Medio,-0.600096571,1721,25,14.52643812
8074,50,8.704,19.41666667,Bajo,-0.827359031,3035,62,20.42833608
5568,50,12.963,42.23333333,Alto,0.573430985,3503,28,7.99314873
7941,50,9.944,30.38333333,Medio,-0.192534208,3358,33,9.827278142
8034,50,5.551,13.66666667,Medio,-0.000460833,5074,21,4.138746551
7945,50,12.408,28.16666667,Bajo,-0.63715994,2790,36,12.90322581
6927,50,5.102,12.01666667,Muy bajo,-1.217090107,2055,10,4.866180049
7875,50,0.282,1.6,Bajo,-0.897535364,4638,44,9.486847779
7904,50,6.936,20.18333333,Alto,0.063923857,3522,45,12.77683135
7890,50,3.61,11.65,Medio,-0.302646161,804,177,220.1492537
7684,50,1.797,7.533333333,Medio,-0.505153413,4771,0,0
7805,50,36.495,39.55,Bajo,-0.779367099,3581,0,0
8050,50,15.915,24.38333333,Bajo,-0.889742573,1136,41,36.0915493
7992,50,4.489,11.46666667,Medio,-0.547124481,2442,57,23.34152334
7704,50,13.381,24.9,NA,NA,NA,0,NA
4008,50,26.03,58.11666667,Alto,0.237539953,4041,49,12.12571146
7990,50,9.291,19.93333333,Bajo,-0.820125668,4520,35,7.743362832
7798,50,25.554,35.11666667,Muy bajo,-0.973409215,5880,0,0
7968,50,10.315,27.4,Medio,-0.058774519,5002,32,6.397441024
8094,50,24.197,32.18333333,Alto,0.512970309,4628,0,0
7853,50,4.536,11.85,Muy bajo,-1.015782277,6437,0,0
7699,50,4.808,14.45,Bajo,-0.697708341,6901,81,11.73742936
7752,50,11.889,15.63333333,Alto,0.357540102,6536,0,0
8151,50,11.601,17.9,Bajo,-0.904237626,3076,36,11.70351105
4044,50,21.952,30.35,Medio,-0.398167917,5652,0,0
7946,50,8.387,26.06666667,Bajo,-0.751798637,2734,142,51.93855157
8139,50,10.244,32.96666667,Muy bajo,-1.247589513,1294,33,25.50231839
8080,50,10.74,32.21666667,Muy bajo,-1.205287074,3892,51,13.10380267
7788,50,6.13,16.06666667,Medio,0.011124636,3389,8,2.360578342
7921,50,8.761,22.26666667,Medio,-0.578010666,4643,68,14.64570321
7682,50,13.861,21.61666667,Alto,0.109486937,4891,0,0
8096,50,5.165,13.53333333,Bajo,-0.646026855,3921,83,21.16806937
7863,50,8.82,24.85,Medio,-0.172450309,7794,46,5.901975879
7694,50,9.944,30.38333333,Medio,-0.192534208,3358,33,9.827278142
8023,50,9.101,28.3,Medio,-0.393892984,1270,35,27.55905512
7889,50,20.157,32.7,Bajo,-0.909327971,5044,0,0
7808,50,14.884,28.05,Bajo,-0.954544948,3185,9,2.825745683
7738,50,27.265,46.58333333,Muy bajo,-1.027609801,5132,0,0
7057,50,7.79,20.41666667,Medio,-0.290766334,6579,0,0
5247,50,17.096,30.81666667,NA,NA,NA,14,NA
7687,50,1.797,7.533333333,Medio,-0.505153413,4771,0,0
7700,50,8.82,24.85,Medio,-0.172450309,7794,46,5.901975879
5429,50,1.797,7.533333333,Medio,-0.505153413,4771,0,0
1424,50,8.838,23,Bajo,-0.641649392,2669,28,10.49082053
7988,50,7.68,22.2,Muy bajo,-0.994726003,4016,16,3.984063745
8170,50,4.892,13.75,Muy bajo,-1.030545533,2959,55,18.58736059
7743,50,6.429,15.7,Bajo,-0.85733814,2321,0,0
7924,50,10.837,31.13333333,Alto,0.075744027,3015,0,0
8124,50,10.149,24.28333333,Bajo,-0.871711472,3179,59,18.55929538
8112,50,21.158,35.76666667,Alto,0.172689659,5642,0,0
7980,50,15.915,24.38333333,Bajo,-0.889742573,1136,41,36.0915493
7858,50,1.797,7.533333333,Medio,-0.505153413,4771,0,0
7716,50,6.708,19.83333333,Bajo,-0.741458572,4103,64,15.59834268
7986,50,0.282,1.6,Bajo,-0.897535364,4638,44,9.486847779
7960,50,16.562,25,Muy bajo,-1.040562879,4727,47,9.94288132
7727,50,11.418,18.08333333,Medio,-0.306069544,7137,0,0
7888,50,6.245,18.13333333,Muy bajo,-1.104255904,3257,20,6.140620203
8008,50,6.634,16.53333333,Medio,-0.215362078,5527,0,0
7771,50,11.418,18.08333333,Medio,-0.306069544,7137,0,0
7718,50,8.203,26.15,Medio,-0.263492611,4370,21,4.805491991
8030,50,13.617,21.7,Medio,-0.397692876,6393,51,7.977475364
7947,50,9.944,30.38333333,Medio,-0.192534208,3358,33,9.827278142
4773,50,9.734,29.68333333,Bajo,-0.94734925,3284,33,10.04872107
8027,50,8.941,27.95,Medio,-0.190770891,5097,40,7.847753581
7744,50,8.531,14.3,Muy bajo,-1.051104503,2310,0,0
5232,50,10.317,31.38333333,Muy bajo,-1.112425792,2922,55,18.82272416
3217,50,15.312,23.21666667,Alto,0.315855503,8054,0,0
7919,50,16.992,38.63333333,Medio,-0.355026246,2501,20,7.996801279
7967,50,30.046,41.51666667,Medio,-0.264079931,9472,0,0
7855,50,7.784,22.2,Bajo,-0.783999376,2114,36,17.02932829
6638,51,6.117,17.35,Muy bajo,-1.036197855,2437,10,4.103405827
2897,51,17.139,28.98333333,Bajo,-0.658305595,5734,68,11.85908615
8067,51,8.557,25.6,Medio,-0.263492611,4370,21,4.805491991
7745,51,6.299,21.15,Bajo,-0.764367101,4788,82,17.12614871
7782,51,11.725,39.03333333,Alto,0.573430985,3503,28,7.99314873
8167,51,14.382,23.3,Medio,-0.447975992,4312,58,13.45083488
6955,51,6.718,10.81666667,Muy bajo,-1.051104503,2310,0,0
7909,51,8.12,25.75,Muy bajo,-1.067053405,4564,49,10.73619632
5933,51,3.738,10.18333333,Medio,-0.000460833,5074,21,4.138746551
8140,51,7.496,21.01666667,Medio,-0.290766334,6579,0,0
8082,51,5.698,16.98333333,Alto,0.063923857,3522,45,12.77683135
