oid,id_trabajador,TiempoViaje,Distancia
320,7850,1.632,5.533333333
321,8018,22.644,48.63333333
322,7987,2.037,5.75
323,8055,10.662,33.08333333
324,8153,7.274,17.46666667
325,7846,4.047,11.51666667
326,7838,13.761,30.9
327,7834,7.575,22.98333333
328,4514,7.937,24
329,7845,6.717,16.56666667
330,8142,5.788,14.28333333
331,8049,3.675,13.4
332,7037,7.212,21.88333333
333,7841,9.449,26.33333333
334,7407,4.271,15.8
335,8079,4.509,12.95
336,7948,4.271,15.8
337,7896,5.651,18.25
338,7269,26.242,44.8
339,3525,4.024,15.78333333
340,8021,2.135,8.183333333
341,7854,6.007,18.61666667
342,2897,17.139,28.98333333
343,7910,8.496,24.7
344,7943,3.289,8.533333333
345,7909,8.12,25.75
346,8167,14.382,23.3
347,8045,10.869,22.48333333
348,1419,5.333,20.21666667
349,5646,12.894,23.85
350,7168,6.153,13.36666667
351,8140,7.496,21.01666667
352,5933,3.738,10.18333333
353,6638,6.117,17.35
354,8082,5.698,16.98333333
355,7851,7.683,25.61666667
356,8067,8.467,25
357,8106,4.304,17.03333333
358,8039,23.492,31.36666667
359,6083,34.796,51.18333333
360,6210,9.469,22.76666667
361,7848,19.968,43.56666667
362,7978,9.381,23.23333333
363,7843,24.368,34.83333333
364,7880,15.868,37.73333333
365,8081,7.676,19.63333333
366,7911,10.572,25.43333333
367,2522,27.122,45.81666667
368,7881,21.608,44.2
369,5549,4.794,13.58333333
370,8128,9.752,27.75
371,8069,9.218,12.66666667
372,236,23.391,32.16666667
373,8002,23.391,32.16666667
374,8012,12.579,26.81666667
375,7902,23.755,44.38333333
376,7906,15.941,30.88333333
377,7331,7.521,16.81666667
378,7593,3.987,8.333333333
379,7791,24.199,44.88333333
380,7952,7.521,16.81666667
381,7898,11.595,26.93333333
382,7866,10.572,25.43333333
383,5704,8.734,19.46666667
384,7915,4.831,8.933333333
385,7812,9.134,18.01666667
386,7756,20.082,30.28333333
387,6582,19.494,45.26666667
388,8095,2.47,7.9
389,7558,5.913,14.41666667
390,7618,21.614,49.6
391,8155,7.804,16.68333333
392,4314,31.619,57.75
393,7685,25.247,36.41666667
394,7717,8.489,23.4
395,4233,3.234,8.683333333
396,8092,5.108,16.73333333
397,8110,2.332,8.166666667
398,8115,43.618,55.91666667
399,8014,10.044,22.61666667
400,8126,2.591,7.95
401,7842,1.541,5.116666667
402,7530,12.996,27.6
403,449,6.461,16.5
404,3827,1.541,5.116666667
405,8157,6.274,17.46666667
406,7330,30.429,56.13333333
407,442,20.385,41.96666667
408,8077,10.676,30.46666667
409,8108,3.655,11.01666667
410,8090,19.968,43.56666667
411,854,13.307,34.56666667
412,7894,23.538,32.43333333
413,7632,27.352,51.66666667
414,8101,5.108,16.73333333
415,6832,1.559,5.3
416,3780,20.223,33.01666667
417,8152,3.655,11.01666667
418,7856,9.469,22.76666667
419,8102,1.584,6.95
420,7970,22.637,44.83333333
421,4366,3.939,9.8
422,8099,11.215,24.43333333
