codigo_x,prediction,actual,VEREDICTO,RECALL,
7057,1,0,MISS,-,
5000,1,1,OK,-,
7412,0,0,OK,-,
3221,1,1,OK,-,
7239,0,0,OK,-,
4832,1,1,OK,-,
7061,1,0,MISS,-,
5646,1,1,OK,-,
6765,1,1,OK,-,
449,1,1,OK,-,
6978,1,1,OK,-,
4314,1,1,OK,-,
6600,1,1,OK,-,
2522,1,1,OK,-,
5181,1,1,OK,-,
6978,1,1,OK,-,
2897,1,1,OK,-,
7880,1,0,MISS,-,
5549,1,1,OK,-,
6885,1,1,OK,-,
6203,1,1,OK,-,
6083,1,1,OK,-,
5677,1,1,OK,-,
7654,0,0,OK,-,
5201,1,1,OK,-,
7421,1,1,OK,-,
7883,1,0,MISS,-,
8037,1,0,MISS,-,
7061,1,1,OK,-,
7168,1,1,OK,-,
7734,0,0,OK,-,
7754,1,1,OK,-,
7619,0,0,OK,-,
6083,1,1,OK,-,
7834,1,1,OK,-,
7753,1,1,OK,-,
5646,1,1,OK,-,
5447,1,1,OK,-,
7885,1,1,OK,-,
5704,1,1,OK,-,
7942,0,1,MISS,FN,
7766,1,1,OK,-,
7663,1,1,OK,-,
7815,1,1,OK,-,
5677,1,1,OK,-,
3676,1,1,OK,-,
8080,1,0,MISS,-,
7536,1,1,OK,-,
7984,1,1,OK,-,
236,1,1,OK,-,
6600,1,1,OK,-,
6565,1,1,OK,-,
1424,1,1,OK,-,
6934,1,1,OK,-,
2451,0,0,OK,-,
5027,1,1,OK,-,
7536,1,1,OK,-,
3218,1,0,MISS,-,
7630,0,0,OK,-,
2112,1,0,MISS,-,
5745,1,0,MISS,-,
8147,0,0,OK,-,
6985,0,0,OK,-,
6885,1,1,OK,-,
2522,1,1,OK,-,
7857,0,0,OK,-,
7824,0,0,OK,-,
5232,1,1,OK,-,
7604,1,1,OK,-,
7627,0,0,OK,-,
6505,1,0,MISS,-,
7852,1,0,MISS,-,
7728,1,0,MISS,-,
7742,1,1,OK,-,
7984,1,1,OK,-,
7618,1,1,OK,-,
6206,1,1,OK,-,
7918,0,0,OK,-,
7269,1,1,OK,-,
7993,1,0,MISS,-,
6944,0,0,OK,-,
3221,1,1,OK,-,
6006,1,1,OK,-,
5506,0,0,OK,-,
6832,1,1,OK,-,
5588,1,0,MISS,-,
7715,1,1,OK,-,
7719,1,1,OK,-,
854,1,1,OK,-,
7655,1,1,OK,-,
6885,1,1,OK,-,
8100,1,1,OK,-,
4832,1,1,OK,-,
7634,1,0,MISS,-,
7643,0,0,OK,-,
4385,1,1,OK,-,
7378,1,0,MISS,-,
7330,1,1,OK,-,
5280,1,1,OK,-,
7643,0,0,OK,-,
6685,1,1,OK,-,
4958,1,1,OK,-,
8031,1,1,OK,-,
7887,0,0,OK,-,
3652,1,1,OK,-,
7430,1,1,OK,-,
7819,1,1,OK,-,
7994,1,1,OK,-,
7430,1,1,OK,-,
2897,1,1,OK,-,
6014,1,1,OK,-,
5588,1,1,OK,-,
6685,1,1,OK,-,
7915,0,0,OK,-,
5644,1,1,OK,-,
6203,1,1,OK,-,
3827,1,1,OK,-,
366,1,1,OK,-,
6061,1,0,MISS,-,
5506,0,0,OK,-,
1123,1,1,OK,-,
7586,0,0,OK,-,
5000,1,1,OK,-,
7848,1,1,OK,-,
7604,0,1,MISS,FN,
7664,1,1,OK,-,
7823,1,0,MISS,-,
6918,0,0,OK,-,
4832,1,1,OK,-,
7717,1,1,OK,-,
7221,1,1,OK,-,
7168,1,1,OK,-,
8112,1,1,OK,-,
5412,1,1,OK,-,
6690,1,1,OK,-,
7485,1,0,MISS,-,
7503,0,0,OK,-,
7617,1,0,MISS,-,
7607,0,0,OK,-,
3321,1,1,OK,-,
7484,1,0,MISS,-,
5745,1,0,MISS,-,
6849,1,0,MISS,-,
8007,1,1,OK,-,
5671,1,0,MISS,-,
7330,1,1,OK,-,
236,1,1,OK,-,
3676,1,1,OK,-,
7907,1,1,OK,-,
6877,1,1,OK,-,
7655,1,1,OK,-,
5704,1,0,MISS,-,
5677,1,1,OK,-,
6821,1,1,OK,-,
7600,1,0,MISS,-,
6206,1,1,OK,-,
5139,1,0,MISS,-,
7620,1,0,MISS,-,
2522,1,1,OK,-,
449,1,1,OK,-,
7745,1,0,MISS,-,
6565,1,1,OK,-,
5933,1,1,OK,-,
7707,1,0,MISS,-,
8073,0,0,OK,-,
7947,0,0,OK,-,
6461,1,1,OK,-,
6461,1,1,OK,-,
3890,1,1,OK,-,
7212,0,0,OK,-,
7880,1,0,MISS,-,
7919,1,0,MISS,-,
7295,1,1,OK,-,
7757,0,0,OK,-,
7395,1,1,OK,-,
5558,1,1,OK,-,
7057,1,0,MISS,-,
7331,1,0,MISS,-,
6461,1,1,OK,-,
6014,1,1,OK,-,
7622,0,0,OK,-,
7604,1,1,OK,-,
1123,1,1,OK,-,
6461,1,1,OK,-,
7828,1,0,MISS,-,
6600,1,1,OK,-,
6349,1,0,MISS,-,
7693,1,0,MISS,-,
6600,1,1,OK,-,
7330,1,1,OK,-,
5232,1,1,OK,-,
4958,1,1,OK,-,
7331,0,0,OK,-,
7952,0,0,OK,-,
1419,1,1,OK,-,
449,1,1,OK,-,
7949,0,0,OK,-,
8072,0,0,OK,-,
214,1,1,OK,-,
7551,1,1,OK,-,
7995,1,0,MISS,-,
7655,1,1,OK,-,
7395,1,1,OK,-,
5704,1,0,MISS,-,
7693,0,0,OK,-,
7640,0,0,OK,-,
2413,1,0,MISS,-,
7812,0,0,OK,-,
7376,0,0,OK,-,
2112,1,0,MISS,-,
6839,1,1,OK,-,
1424,1,1,OK,-,
5549,1,1,OK,-,
3979,1,1,OK,-,
7814,1,1,OK,-,
5396,1,1,OK,-,
5201,1,1,OK,-,
7428,1,1,OK,-,
214,1,1,OK,-,
7080,1,1,OK,-,
849,1,1,OK,-,
7593,0,1,MISS,FN,
5549,1,1,OK,-,
7839,0,0,OK,-,
5447,1,1,OK,-,
366,1,1,OK,-,
7378,1,1,OK,-,
5549,1,1,OK,-,
8020,1,1,OK,-,
7828,1,0,MISS,-,
6349,1,0,MISS,-,
6638,1,1,OK,-,
7737,1,1,OK,-,
7530,1,1,OK,-,
449,1,1,OK,-,
6766,1,1,OK,-,
849,1,1,OK,-,
1269,1,1,OK,-,
3169,1,1,OK,-,
7378,1,1,OK,-,
5412,1,1,OK,-,
7849,1,1,OK,-,
7773,1,1,OK,-,
854,1,1,OK,-,
7660,1,0,MISS,-,
6877,1,0,MISS,-,
7801,1,1,OK,-,
7137,1,1,OK,-,
5027,1,1,OK,-,
3525,1,1,OK,-,
5558,1,1,OK,-,
4008,1,0,MISS,-,
3218,1,0,MISS,-,
7773,1,1,OK,-,
7824,1,1,OK,-,
5181,1,1,OK,-,
4746,1,1,OK,-,
1269,1,1,OK,-,
8082,1,0,MISS,-,
1269,1,1,OK,-,
7849,1,1,OK,-,
7580,0,0,OK,-,
7699,1,0,MISS,-,
3221,1,1,OK,-,
6918,1,0,MISS,-,
2451,0,0,OK,-,
6821,1,0,MISS,-,
6839,1,1,OK,-,
7754,1,1,OK,-,
7804,1,1,OK,-,
4504,1,1,OK,-,
6565,1,1,OK,-,
7542,1,1,OK,-,
7880,1,0,MISS,-,
7848,1,1,OK,-,
7786,1,1,OK,-,
7849,1,1,OK,-,
7614,1,1,OK,-,
7170,1,1,OK,-,
5933,1,1,OK,-,
7376,0,0,OK,-,
6379,0,0,OK,-,
7773,1,1,OK,-,
6565,1,1,OK,-,
4958,1,1,OK,-,
6205,1,1,OK,-,
7900,0,0,OK,-,
7407,1,1,OK,-,
7395,1,1,OK,-,
5671,0,0,OK,-,
8036,1,1,OK,-,
7338,1,1,OK,-,
6832,1,0,MISS,-,
5644,1,1,OK,-,
6821,1,1,OK,-,
7378,1,1,OK,-,
7243,1,0,MISS,-,
5181,1,1,OK,-,
3169,1,1,OK,-,
8030,1,0,MISS,-,
4314,1,1,OK,-,
7542,1,1,OK,-,
8111,0,1,MISS,FN,
7786,1,1,OK,-,
7397,0,0,OK,-,
8015,1,0,MISS,-,
854,1,1,OK,-,
7528,1,0,MISS,-,
7663,1,1,OK,-,
2522,1,1,OK,-,
7801,1,0,MISS,-,
4746,1,1,OK,-,
7558,1,1,OK,-,
3169,1,1,OK,-,
5396,1,1,OK,-,
7779,1,1,OK,-,
4314,1,1,OK,-,
6461,1,1,OK,-,
6083,1,1,OK,-,
3321,1,1,OK,-,
7588,1,1,OK,-,
5549,1,1,OK,-,
5933,1,1,OK,-,
3525,1,1,OK,-,
5761,0,0,OK,-,
6504,0,0,OK,-,
6877,1,1,OK,-,
7943,1,1,OK,-,
7909,1,1,OK,-,
3169,1,1,OK,-,
7943,1,1,OK,-,
7554,0,0,OK,-,
5679,1,1,OK,-,
7943,1,1,OK,-,
6600,1,1,OK,-,
3321,1,1,OK,-,
7742,1,1,OK,-,
7912,0,0,OK,-,
849,1,1,OK,-,
6791,1,0,MISS,-,
5745,0,0,OK,-,
7690,0,0,OK,-,
236,1,1,OK,-,
6978,1,1,OK,-,
5000,1,1,OK,-,
3979,1,1,OK,-,
7330,1,1,OK,-,
4385,1,1,OK,-,
7824,1,0,MISS,-,
8017,0,0,OK,-,
7828,1,0,MISS,-,
7080,1,1,OK,-,
7804,1,1,OK,-,
5704,1,1,OK,-,
7613,1,0,MISS,-,
7836,1,0,MISS,-,
7650,0,0,OK,-,
7588,1,0,MISS,-,
7760,0,0,OK,-,
5549,1,1,OK,-,
7800,1,1,OK,-,
7616,0,0,OK,-,
4314,1,1,OK,-,
5396,1,1,OK,-,
6582,0,0,OK,-,
6600,1,1,OK,-,
214,1,1,OK,-,
6582,0,0,OK,-,
7243,0,0,OK,-,
7243,0,0,OK,-,
3676,1,1,OK,-,
6379,1,0,MISS,-,
7551,1,1,OK,-,
7643,0,0,OK,-,
6885,1,1,OK,-,
7758,0,0,OK,-,
5549,1,1,OK,-,
4807,1,1,OK,-,
7766,0,1,MISS,FN,
7847,1,0,MISS,-,
1419,1,1,OK,-,
7430,1,1,OK,-,
7485,1,0,MISS,-,
366,1,1,OK,-,
3318,1,1,OK,-,
7823,1,1,OK,-,
2897,1,1,OK,-,
4958,1,1,OK,-,
7421,1,0,MISS,-,
1424,1,1,OK,-,
6765,1,1,OK,-,
7212,1,0,MISS,-,
6360,1,1,OK,-,
3321,1,1,OK,-,
