codigo_x,prediction,actual,,,
7170,1,1,TP,-,
5412,1,1,TP,-,
8052,1,1,TP,-,
6638,1,1,TP,-,
7280,1,0,FP,FN,
8009,1,1,TP,-,
6083,1,1,TP,-,
7226,1,1,TP,-,
7168,1,1,TP,-,
5447,1,1,TP,-,
6765,1,1,TP,-,
6028,1,1,TP,-,
7619,1,0,FP,FN,
7741,1,1,TP,-,
7407,1,1,TP,-,
5027,1,1,TP,-,
4746,1,1,TP,-,
854,1,1,TP,-,
3890,1,1,TP,-,
7226,1,1,TP,-,
7528,1,0,FP,FN,
7952,0,0,TP,-,
7814,1,1,TP,-,
7909,1,1,TP,-,
236,1,1,TP,-,
2112,1,1,TP,-,
7693,1,0,FP,FN,
7685,1,1,TP,-,
5232,1,1,TP,-,
6014,1,1,TP,-,
7811,0,1,FP,-,
7857,0,0,TP,-,
5280,1,1,TP,-,
7330,1,1,TP,-,
7536,1,1,TP,-,
7269,1,1,TP,-,
7314,0,0,TP,-,
7545,1,1,TP,-,
7312,1,0,FP,FN,
7737,1,1,TP,-,
7938,0,0,TP,-,
6210,1,1,TP,-,
7932,1,0,FP,FN,
3894,0,0,TP,-,
7428,1,1,TP,-,
7430,1,1,TP,-,
7770,0,1,FP,-,
3217,1,0,FP,FN,
7814,1,1,TP,-,
7798,1,1,TP,-,
7782,1,0,FP,FN,
7057,1,1,TP,-,
7685,1,1,TP,-,
6978,1,1,TP,-,
5506,0,0,TP,-,
7715,1,0,FP,FN,
5139,1,1,TP,-,
7503,0,1,FP,-,
6205,1,1,TP,-,
442,1,1,TP,-,
5396,1,1,TP,-,
4314,1,1,TP,-,
6321,0,0,TP,-,
7742,0,0,TP,-,
6206,1,1,TP,-,
7975,0,0,TP,-,
7708,1,1,TP,-,
6918,1,0,FP,FN,
7963,1,1,TP,-,
7645,0,0,TP,-,
8093,1,0,FP,FN,
6600,1,1,TP,-,
1269,1,1,TP,-,
4008,1,0,FP,FN,
7617,0,0,TP,-,
5679,1,0,FP,FN,
3318,1,1,TP,-,
7660,1,0,FP,FN,
3318,1,1,TP,-,
214,1,1,TP,-,
7774,1,1,TP,-,
7618,1,1,TP,-,
6014,1,1,TP,-,
1123,1,1,TP,-,
7892,0,0,TP,-,
8145,1,1,TP,-,
3160,1,1,TP,-,
5965,1,1,TP,-,
3780,1,1,TP,-,
5506,1,0,FP,FN,
7555,0,0,TP,-,
7530,1,1,TP,-,
7212,0,0,TP,-,
5933,1,1,TP,-,
7706,1,1,TP,-,
7168,1,1,TP,-,
7735,0,0,TP,-,
6205,1,1,TP,-,
6203,1,1,TP,-,
7080,1,1,TP,-,
7880,1,0,FP,FN,
7975,0,0,TP,-,
7873,1,1,TP,-,
5679,0,1,FP,-,
7012,0,0,TP,-,
6658,1,0,FP,FN,
7943,1,1,TP,-,
2233,0,0,TP,-,
5506,0,0,TP,-,
7785,1,0,FP,FN,
7312,1,0,FP,FN,
7996,1,1,TP,-,
5232,1,1,TP,-,
7607,1,0,FP,FN,
7168,1,1,TP,-,
3326,1,1,TP,-,
7699,0,0,TP,-,
5412,1,1,TP,-,
7890,1,1,TP,-,
849,1,1,TP,-,
6205,1,1,TP,-,
5181,1,1,TP,-,
7861,0,0,TP,-,
5646,1,1,TP,-,
7849,1,1,TP,-,
6685,1,1,TP,-,
6014,1,1,TP,-,
7430,1,1,TP,-,
3890,1,1,TP,-,
5644,1,1,TP,-,
7430,1,1,TP,-,
3525,1,1,TP,-,
7823,1,0,FP,FN,
4775,1,1,TP,-,
442,1,1,TP,-,
236,1,0,FP,FN,
3321,1,1,TP,-,
7883,0,0,TP,-,
7701,0,0,TP,-,
7818,1,1,TP,-,
7057,0,0,TP,-,
6565,1,1,TP,-,
7673,1,0,FP,FN,
7664,1,1,TP,-,
8039,1,0,FP,FN,
4044,1,1,TP,-,
7645,0,0,TP,-,
8023,1,1,TP,-,
4458,1,0,FP,FN,
7061,1,0,FP,FN,
7551,1,1,TP,-,
6958,0,0,TP,-,
7295,1,1,TP,-,
3321,1,1,TP,-,
7604,1,0,FP,FN,
7312,1,0,FP,FN,
7914,1,1,TP,-,
6203,1,1,TP,-,
3676,1,1,TP,-,
6582,1,1,TP,-,
854,1,1,TP,-,
7754,1,1,TP,-,
7793,0,0,TP,-,
6356,0,0,TP,-,
7104,1,1,TP,-,
4314,1,1,TP,-,
7536,1,1,TP,-,
7729,0,0,TP,-,
4385,1,1,TP,-,
7312,0,1,FP,-,
4458,0,0,TP,-,
7693,1,0,FP,FN,
7996,1,1,TP,-,
7170,1,1,TP,-,
7904,1,0,FP,FN,
5704,1,0,FP,FN,
7943,1,1,TP,-,
7869,1,1,TP,-,
7596,0,0,TP,-,
7080,1,1,TP,-,
5704,1,1,TP,-,
7684,0,0,TP,-,
7655,1,1,TP,-,
5000,1,1,TP,-,
4514,1,1,TP,-,
7168,1,1,TP,-,
7057,1,0,FP,FN,
7080,1,1,TP,-,
7843,0,0,TP,-,
7754,1,1,TP,-,
6334,1,0,FP,FN,
6600,1,1,TP,-,
7913,1,0,FP,FN,
8066,1,1,TP,-,
5933,1,1,TP,-,
5506,0,0,TP,-,
7821,0,0,TP,-,
4775,1,1,TP,-,
5139,1,1,TP,-,
7814,1,1,TP,-,
5933,1,1,TP,-,
6955,1,0,FP,FN,
7080,1,1,TP,-,
5644,1,1,TP,-,
5588,1,1,TP,-,
6349,1,0,FP,FN,
7614,1,1,TP,-,
5000,1,1,TP,-,
7685,1,1,TP,-,
1123,1,1,TP,-,
7717,1,1,TP,-,
7634,1,0,FP,FN,
3318,1,1,TP,-,
6028,1,1,TP,-,
5558,1,1,TP,-,
7407,1,1,TP,-,
7330,1,1,TP,-,
7586,0,0,TP,-,
7295,1,1,TP,-,
7655,1,0,FP,FN,
8095,1,0,FP,FN,
854,1,1,TP,-,
3326,1,1,TP,-,
7614,1,1,TP,-,
7994,1,1,TP,-,
7618,1,1,TP,-,
2451,0,0,TP,-,
6832,1,1,TP,-,
5704,1,1,TP,-,
5280,1,1,TP,-,
7685,1,1,TP,-,
7679,0,0,TP,-,
8109,0,0,TP,-,
7012,0,0,TP,-,
7627,0,0,TP,-,
6877,1,1,TP,-,
7959,0,0,TP,-,
8097,0,0,TP,-,
6203,0,1,FP,-,
7430,1,0,FP,FN,
7649,1,0,FP,FN,
6206,1,1,TP,-,
7637,0,0,TP,-,
7338,1,1,TP,-,
8076,1,1,TP,-,
5933,1,1,TP,-,
849,1,1,TP,-,
5396,1,1,TP,-,
5679,1,0,FP,FN,
8017,0,0,TP,-,
7812,0,0,TP,-,
7642,0,0,TP,-,
7632,1,1,TP,-,
7712,1,0,FP,FN,
7640,0,0,TP,-,
5905,1,0,FP,FN,
366,1,1,TP,-,
6006,1,0,FP,FN,
7704,1,0,FP,FN,
7673,1,0,FP,FN,
7168,1,1,TP,-,
4775,1,1,TP,-,
449,1,1,TP,-,
7679,1,0,FP,FN,
5027,1,1,TP,-,
4314,1,1,TP,-,
5704,1,1,TP,-,
7664,1,1,TP,-,
8081,1,1,TP,-,
6985,0,0,TP,-,
7571,0,0,TP,-,
236,1,0,FP,FN,
7633,1,1,TP,-,
5549,1,1,TP,-,
6765,1,1,TP,-,
4807,1,1,TP,-,
7618,1,1,TP,-,
4514,1,1,TP,-,
5646,1,1,TP,-,
6885,1,1,TP,-,
449,1,1,TP,-,
849,1,1,TP,-,
7756,1,1,TP,-,
5646,1,1,TP,-,
6028,1,1,TP,-,
7170,1,1,TP,-,
7704,1,0,FP,FN,
5905,1,0,FP,FN,
3169,1,1,TP,-,
3827,1,1,TP,-,
6205,1,1,TP,-,
6203,1,1,TP,-,
7655,1,1,TP,-,
7551,1,1,TP,-,
7849,1,1,TP,-,
8008,0,0,TP,-,
6885,1,1,TP,-,
8075,1,0,FP,FN,
1123,1,1,TP,-,
7338,1,1,TP,-,
7694,1,1,TP,-,
5181,1,1,TP,-,
8033,1,0,FP,FN,
6028,1,1,TP,-,
7864,0,0,TP,-,
7226,1,1,TP,-,
7605,1,0,FP,FN,
7779,1,1,TP,-,
5201,1,1,TP,-,
7226,1,1,TP,-,
6321,0,0,TP,-,
7080,1,1,TP,-,
