,codigo_x,prediction,actual,veredict,recall,
250,6360,sigue,fue,FP,FN,
251,7614,sigue,sigue,TP,-,
252,3318,sigue,sigue,TP,-,
253,7706,sigue,fue,FP,FN,
254,7804,sigue,sigue,TP,-,
255,5139,sigue,fue,FP,FN,
256,6083,sigue,sigue,TP,-,
257,6766,sigue,sigue,TP,-,
258,4137,sigue,sigue,TP,-,
259,7542,sigue,sigue,TP,-,
260,7756,fue,fue,TP,-,
261,7759,fue,fue,TP,-,
262,3780,sigue,sigue,TP,-,
263,6205,sigue,sigue,TP,-,
264,5027,sigue,sigue,TP,-,
265,7791,fue,fue,TP,-,
266,7818,sigue,sigue,TP,-,
267,7815,fue,sigue,FP,-,
268,6839,sigue,sigue,TP,-,
269,5646,sigue,sigue,TP,-,
270,7708,sigue,sigue,TP,-,
271,7833,fue,fue,TP,-,
272,5679,sigue,fue,FP,FN,
273,7530,fue,sigue,FP,-,
274,6028,sigue,sigue,TP,-,
275,6565,sigue,sigue,TP,-,
276,7731,fue,fue,TP,-,
277,7753,sigue,fue,FP,FN,
278,3676,sigue,sigue,TP,-,
279,3221,sigue,sigue,TP,-,
280,7741,fue,fue,TP,-,
281,7779,sigue,sigue,TP,-,
282,7269,fue,fue,TP,-,
283,7844,fue,fue,TP,-,
284,7845,sigue,sigue,TP,-,
285,2522,sigue,sigue,TP,-,
286,236,sigue,fue,FP,FN,
287,7080,sigue,sigue,TP,-,
288,5965,sigue,sigue,TP,-,
289,5447,sigue,sigue,TP,-,
290,6685,fue,sigue,FP,-,
291,5549,sigue,sigue,TP,-,
292,854,sigue,sigue,TP,-,
293,7295,fue,sigue,FP,-,
294,6832,sigue,fue,FP,FN,
295,4807,sigue,sigue,TP,-,
296,6821,sigue,fue,FP,FN,
297,7850,fue,fue,TP,-,
298,3169,sigue,sigue,TP,-,
299,4514,sigue,sigue,TP,-,
300,7814,sigue,sigue,TP,-,
301,7104,fue,fue,TP,-,
302,7754,sigue,sigue,TP,-,
303,7717,sigue,fue,FP,FN,
304,6014,sigue,sigue,TP,-,
305,7775,sigue,fue,FP,FN,
306,7783,fue,fue,TP,-,
307,7551,fue,fue,TP,-,
308,7715,fue,fue,TP,-,
309,3827,sigue,sigue,TP,-,
310,5412,sigue,sigue,TP,-,
311,4504,sigue,fue,FP,FN,
312,7395,sigue,sigue,TP,-,
313,214,sigue,sigue,TP,-,
314,7849,fue,sigue,FP,-,
315,7849,fue,sigue,FP,-,
316,849,sigue,sigue,TP,-,
317,849,sigue,sigue,TP,-,
318,6321,fue,fue,TP,-,
319,5232,sigue,sigue,TP,-,
320,4958,sigue,sigue,TP,-,
321,3979,sigue,sigue,TP,-,
322,442,sigue,sigue,TP,-,
323,7699,sigue,fue,FP,FN,
324,7330,sigue,sigue,TP,-,
